ns life 0	you will suffer when you are in ns life
field camp 1	" @mussybart : Boyfriend I this year raya time field camp . I dah standby baju couple I pun . Hahahah
safti 1	The SAFTI dentist
tekong 1	@MagnumSG @WhoSia you deserve this after training in Tekong
hendon 1	drunk ( @ Hendon Camp in Singapore )
bookout 1	Bookout tomorrow after 12 days away from mainland
commando 1	@Superstarplus1 if they are remaking point break least they can do is make commando two . Maybe get Danny devito . He's not busy
ippt 2	@__MLKY @Jiajinggggg ippt 1 to ippt 2 big improvement ... trainings were worth it .
ord 1	ORD means nothing if I ain't got you ...
reservist 1	Back to Reservist . Back to how is your monday ? #airforce #singapore #reservist @
ord 1	Reservist : First Cycle ! Let's go ! @ Here Comes 55 Weeks After ORD
army life 1	Army life is like a life of a lion dancer in CNY days . Lack of sleep but work all day !
ord 1	Thanks for coming tho it's not my ORD time @ Sembawang Camp
bedok camp 2	Finally a guardswoman huh HAHAHA great job Zaranicoletoh ! ! Super proud of ya @ Bedok Camp 2
national service resort country club 2	Happy birthday fatty ! @ National Service Resort Country Club
platoon 1	181cm and 194cm . Guard duty with my ex classmate and current platoon
cadets 1	I swear if my cadets piss me off on Friday I will murder them
bmt 1	Nak Subway BMT
ord 1	i want ord alrdy
pasir 0	Ngee soon guard duty is shag as fuck . Much worst than pasir ris camp . Zzz .
sungei gedong camp 1	Time to serve army ( @ Sungei Gedong Camp in Singapore )
ippt 0	CB new ippt like this girls also can join
keat hong 0	R2 week ... le sigh ( @ Keat Hong Camp in Singapore )
maju camp 0	Dislike here ( @ Maju Camp in Singapore )
ippt 1	i would have gotten an A for my IPPT 2.4 km run if it is compulsory for me . @ Jurong Canal Drive
army life 1	i don't wanna lead an army life ya ! @ BMTC Pulau Tekong
pasir laba 1	Waiting for parade yo start .. @ Pasir Laba Camp
training institute 0	Weary Wednesday ... @ National Service Training Institute ( NSTI )
ord 1	@KHRLKHMS @Perri_Fate @Harrylwy Ord from higher nitec lo ! ! , sure anot dont come lj la pimple
ippt 1	Whoa I need more time to prepare myself for the next ippt test
field camp 0	it's cheat day ! it's time to get fat guys ! field camp didn't serve us good food so we ourselves good
field camp 0	Just came back from field camp despite it being just 2 days 1 night I must say I'm fucking shag ! !
saf 1	' Celebrate SG50 with The RSAF Black Knights'Republic of Singapore Air Force F - 16 Black Knights
ord 1	@juliannchoo I'm in CBRD bruh . Gonna ORD in 7 days .
national service 1	How often do you enlist on the same day same time for national service with your buddy since 3 ? Not
ord 1	I think it's better to ORD
sungei gedong camp 1	CAN IT BE FRIDAY ALREADY ( @ Sungei Gedong Camp in Singapore )
ippt 1	" @RidzwanIsTorres : Taking my reservist IPPT tomorrow ... " so fast ? !
ippt 1	@ABRAKAFKRS well , boo to you for not passing ippt ? HAHAHAHAHAHAHAHA !
reservist 2	Mission accomplished .. 2down , 8 more cycles to go ! #ns #sgarmy #reservist #wheregottime @ Murai Urban
national service 1	Wanna keep my hair long till i finish my national service . Hopefully my sir wont fuck me .. Hahaha
platoon 1	Dinner with Platoon 6 @ Ice Edge Cafe
bookout 0	@ThhQueen haha ! Ya ! I like so damn lost in that area ! Haha ! I like everyday Bookout den go home cos I not familiar there ! Hahaha !
ippt 1	@darrenywj I wanna faster get marksman and ippt badge hahah ! Money rolling in
air force 1	So if I pass this psychometric test I got a chance to go for Air Force EOD course and get another badge , hmmmm ...
home team ns 1	What we do best on a weekend @ Starbowl Home Team NS Bukit Batok
ippt 1	@somboism what's ippt ?
enlistment 1	It has been 2 years since our enlistment day . @AlsonToh @ShawnJosiah
cadets 1	These cadets
maju camp 1	Army lo ( @ Maju Camp Guardhouse )
national service resort country club 2	My 5 years old cousin :) @ National Service Resort Country Club
safra resort 1	I'm at National Service Resort Country Club - SAFRA Resort in Singapore w / @hazimmzln_
air force 1	Air force 1 doe .
home team ns 1	Chapter's chalet : Pic is unclear but THIS IS THE SITUATION RIGHT NOW.BIZARRE MAN @ Home Team NS @
commando 1	Extream Commando Challenge .
bmt 2	@nightslikedeze Congrats respect man . Btw when y'all doing the BMT cheer thingy , Tommy and I can completely visualize you doing it .
nsmen 2	wah most of the nsmen here r goodlooking
platoon 1	#tb PTP lo ! ! Platoon 2 couldn't have been so fun and united without you bunch of monkeys ( and more who
ord 1	Don't really care for Lady Gaga BUT TOM FORD SS16 ' S CAMPAIGN VIDEO IS KILLING IT LOOK AT XIAO WEN JU DANCE ! ! !
jurong 1	Come here run in the end eat food ( @ Jurong Camp 1 Cookhouse / Canteen )
ord 2	Really lookig forward to ORD ! ! !
bmt 2	Blood runs thicker than water . Thank you for being my pillar of strength not only during my BMT phase ,
tekong 1	@Unjeraldable how r u , son ? Still im Tekong BMTC ? Its been quite a moment never hear from u .
ord 1	PROMISE I won't post any obnoxious ORD posts come my turn
tekong 1	Come to think of it I'd feel glad if I'm able to book in to Tekong with the same people now . Cause I miss'em all .
ord 1	Never thought about this but I'm having second thoughts about my life after ORD #Torn @ deleting
field camp 1	@TazManiaZac playing with bomb .  . Tomorrow infantry field camp .. then still need were one damn thick suit to clear virus bomb lol .
pasir 1	#Throw to the sunrise taken during Day 3 of OBS Camp . @ Pasir Ris Park
bmt 1	@JoshAneForReaL What is the difference of allogenic autologous in BMT ? JOSHANELT FiresUp NKNKKTVAd Astra Per Aspera KEYpers
reservist 1	poor bf is stuck in reservist while i post a photo of us from the comfort of my home i miss you so ! !
cadets 1	Ocs cadets go what canteen break . People need to bookout leh .
ord 1	Endure one last outfield . Exactly 2 more months to ord lo ~ @ Planet Paradise Thai Disco
commandos 1	@rascalov Alamak commandos should've taken you bruh
bmt 1	#PesEPride While the bulk of army guys usually fall in at Pasir Ris before booking in during BMT , we
platoon 2	HAHAHA platoon mates too funny already
sarimbun 1	Everdeen clan head at his best #smuftb2014 #withdrawalsymptoms @ Sarimbun Scout Camp
ippt 1	The next generation of @OurSGArmy will wonder why there are clothes lines around camp . #IPPT
home team ns 0	Tired ( @ Home Team NS Swimming Pool in Singapore )
sungei gedong camp 1	Way too early ( @ Sungei Gedong Camp in Singapore )
mandai hill 0	Feel so tired & sleepy whenever i step in here ( @ Mandai Hill Camp CMTL )
air force 1	Descendants of the sun from Singapore @ Air Force Training Command
saf 1	RSAF Open House 2016 ( at Paya Lebar Air Base )
safra resort 1	I'm at National Service Resort Country Club - SAFRA Resort in Singapore w / @anthonysoshort
reservist 0	@HilmiShukur wait whuttt ? ! Reservist for 2 weeks la . Kill me now ... Slp n wake up slp n wake up . Watch vids , read book . Ugh
air force 1	Nike Air Force 1 to start of the nerve-wrecking week .
ippt 1	Trained my client for his IPPT at YCK Stadium
tekong 1	@eileennper want come tekong ? Best place for vacation
ippt 1	IPPT must gold then peer appraisal must solid then BMT must be good boy then your commanders will think whether can make it , or not ...
ocs 1	@JosephXKM hahha wat u mean correct unit ? Planning to crossover into ocs ahh ?
ord 0	Otw to collect pink ic . ORD LO BITCHES .
ippt 1	Officer : Manoje u chiminey . Ippt get what ? Me : ippt gold sir . Officer : good u may smoke untill u die , carry on
bookout 2	@_hvzyh HAHAHA after its gone , you will really miss the times of being a CIT ... trust me on this :') bt yeah 2 more nights and u can bookout
ord 1	@CaLLMeKayM haha somewhat bahs .. how are you ? how long till ord
saf 2	They ord while I SAF 51 . Happy ord once again to these two awesome peeps ! #ordlo #woodpeck
bmt 1	Lunch anybody bmt anybody
reservist 1	Training to be soldiers .. #Packing #Reservist #Manning
platoon 1	platoon 8
pasir laba 1	Italian herb chicken breast with salsa salad . Kinda getting the hang of this . #eatclean @ Pasir Laba Camp
saf 1	Book out la lo ! ! ( @ SAF Ferry Terminal in Singapore )
air force 1	Monday blues ? ? ? ( @ Air Force Training Command ( AFTC ) )
ord 2	Selfie ! ! ! With The ORD Personnel ! The Greatest Batch ! ! @ Port of Singapore
bookout 1	@OrdinaryHaoWen ya hor but you bookout tdy meh
ns life 1	Left home for meeting at 1020 , back home at 1200 . If every Friday was like this I'd enjoy my NS life
national service resort country club 1	lapsup don't care / #kyara chalet @ National Service Resort Country Club
ippt 0	Ippt tmrw . What's new . Fail uh .
cadets 0	We just went into very dangerous territory there cadets
ord 1	its rude to mention the word n . s to people who have already ord
nee soon camp 1	Outside waiting for pickup lol ( @ Nee Soon Camp in Singapore )
national service 0	I am officially sick and tired of everything national service . This sick government can never repay me and my 2 years of suffering . #never
ord 2	very thankful to have been blessed with this wonderful family . happy ord sec 4s ! ! to
pasir laba 1	Yesterday's @ Pasir Laba Camp
nee soon camp 0	Another weekend burn ( @ Nee Soon Camp )
bmt 1	A photo to mark the end of BMT commencing in just a few hours time . To the floating platform , 24KM
reservist 2	@Sushinhwa happy to hear they're going to reservist together .. at least , they're not alone ^ ^
military 1	First book out after his 2 weeks confinement ! @ SAFTI Military Institute
national service 1	@ZzieAnnelisa apply national service ah
national service 2	At Cousin's birthday Chalet #fun #happybirthday #21 #pristurns21 @ National Service Resort
tekong 1	Top left , FIRST day you're entering tekong and couldn't get to see you for two weeks . Middle bottom
reservist 1	Lmao there's this middle aged man complaining about how his 14 day reservist can be cut down to 7 days . Yeah I fucking agree pal .
bedok camp 0	Barely breathing . ( @ Bedok Camp II in Singapore )
ord 0	wlao why suddenly so many ord pics in my ig feed
military 1	For #young people from #Dover , #DE : Adidas #Marine #Clothes #Military #Army #Weapon #Soldier #Tribute #War #Hero
bookout 1	bookout loh !
pasir laba 1	Mummy force me to take pic like this ... @ Leader's Square , Pasir Laba Camp
cadet 0	some ppl dont understand d pain of a cadet with sore legs bc of cca
pasir laba 1	Freebies from AFC . @ Pasir Laba Camp
saf 1	@didilahsiol I was thinking about CD too but I decided to go with RSAF uh cause my bro also signed on there . But yea uh the money and stable
safra resort 1	I'm at National Service Resort Country Club - SAFRA Resort in Singapore w / @swqqqqq @jenniferyaw @teotseng
safra resort 1	golf and bowling session w the bros . ( @ National Service Resort Country Club - SAFRA Resort )
bmt 1	POP lo The trained soldiers . #BMT @ The Float at Marina Bay
pasir laba 2	congratulations sgt ! Holds his gun tigher than he holds me cos #army #teamnoeyes @ Pasir Laba Camp
reservist 1	reservist tmr
khatib 0	Tired . ( @ Khatib Camp in Singapore )
ord 0	My office mate all ord than me lei ? Not even have a final posting , the worst is maybe will maybe won't recourse . - _ -
tekong 0	@nikky_0902 what thing ): ? It's ok , Ashley is gonna be in tekong soon again !
platoon 1	@Crenshawnnnn platoon 1 ? ! ! Haha i was from platoon 1 section 3 . Firdaus fakhrin ? Sir junxian ?
cadet 1	Tagged by @veggie_loo , so here's 20 facts about me : 1 : I'm from National Cadet Corps 2 : I'm from
cadet 0	i learn home nursing for nursing cadet competition and i swear it's fucking hard , i just wanna jump down a building rn e . o
mandai hill 1	( @ Mandai Hill Camp BRAVO in Singapore )
bmt 1	@MAKElTREIGN @jojochia94 he got his BMT la .. i enlisting on 10th .. 945am
ord 2	@niggaszk happy ord
reservist 1	@irninat I chuckled when I saw your face in my reservist video . So which NGO did you represent ?
pasir laba 2	Happy graduation dude ! Cheers to more freedom ! ! Super happy for you ! @ Pasir Laba Camp
bedok camp 0	Here we go again , same old shit again ! #whatsnew ( @ 3rd Battalion Singapore Guards ( Bedok Camp II ) )
sarimbun 1	aec ' 15 @ Sarimbun Scouts Camp
ippt 2	HAH laughing to myself watching all the aetos trainee train so hard for ippt to pass out .. But once u pass out thats where the fatlife begin
ippt 2	@azfarnazri all the best in your ippt :) Go for gold . Just like your rugby .
bookout 2	@wanqinggggg hahaha shiok just finished 8 days in the jungle can bookout already
seletar 0	Lunch and fuck off ( @ Seletar Camp )
uniform 1	Oh gosh a guy just walked pass in his NS uniform and his name is freaking C B SOH HAHAHAHHA probably gonna get karma
singapore infantry regiment 1	I'm at 4th Bn . Singapore Infantry Regiment ( 4 SIR ) w / @symmmbls
bmt 1	@clarenceching from your time in BMT ? Is he still available ?
ns life 1	26 % of ns life completed . Hurry up time ..
sembawang 1	No longer a recruit ft . otosan @ Sembawang Camp
ord 1	AIGHT AIGHT GOTTA SHOUTOUT TO THIS CRAZY BITCHY ASS BROTHA FOR SPENDING HIS LAST DAY TODAY , HAPPY ORD @farizsamm
platoon 1	P5S1 troopers Feat . Platoon Commander on a Saturday basis for NDP . #iphoneonly #sg50 #sgigers #ndp
bookout 1	@Sssharmini BOOKOUT DAY ! !
ord 1	@Idzkandar ORD OH
pasir 2	Camping time with love and my family ! ( @ Pasir Ris Park in Singapore )
tekong 2	@Hrfn_J learn to enjoy civilian life before u go to shrink city aka Tekong hehe
jurong 1	I'm at Jurong Camp 2 Entrance in Singapore
air force 1	High G Combat Turn | Republic Of Singapore Air Force | 15 - SG | National Education Show 2 | 18th July
bookout 1	Isit i bookout at 1300 ... ? Isit ? ISIT ? ? ? IT IS ! ! !
bookout 2	Early bookout feels so good . BOOKOUT LOOOOH
enlistment 2	Wew enlistment I'm ready
field camp 1	Tmrw field camp gonna miss this 2 person the most i guess see you both next week ! tak
reservist 1	DEC 2014 : Bangkok , Jakarta , Beijing , Paris + 2.5 weeks of reservist
field camp 1	Post field camp re-fuelling
field camp 1	Field camp ? COME AT ME BRO .
tampines 1	Comfort food to ease post camp syndrome #ramen #ajisen #dinner #thursday @ Ajisen Ramen Tampines Mall
bedok camp 1	weekends past so fast . ( @ Bedok Camp II in Singapore )
bmt 1	From BFC to PPL to YFC Alumni mates and now going thru PTP n BMT together . #igsg #flyboystomen Axel
maju camp 0	Urgh , Taylor SLUT song is being played ! ! #earsBleeding ( @ Maju Camp FCC )
bedok camp 1	Guardsman Warriors ! #alwaysready @ Bedok Camp 2 ( Home of the Elite Guards )
bmt 1	@JieenChann hahahahha nope ... unless you want to send to brunei uh ! We not in BMT liao lo hahahaha
bookout 2	Family Day at the River Safari ! #selfie #riversafari #family #bookout #happydays
kranji 1	Someone bring 2 anchor strong and a pack of Winston to kranji camp 3 pleaseee
ns life 1	Ill dedicate my ns life to build better badder physique .
field camp 2	Field camp's over . Totally enjoyed the boat ride ! Great place to take a breather from busy NS
khatib 1	Back to camp ( @ Khatib Camp in Singapore )
mandai hill 1	Getaway trips ended , time to serve again ! ( @ Mandai Hill Camp CMTL )
tekong 1	wonder how my homie @OwnageYj is doing inside tekong .
tekong 2	@gailmez love you from tekong to joo koon b
sarimbun 2	Three days of fun with people I love [ featuring my P5 camp hut ! ! ] @ Sarimbun Scout Camp
safra resort 1	I'm at National Service Resort Country Club - SAFRA Resort in Singapore w / @daphnnnnn
jurong 2	I think I'm his favourite paparazzi @ Jurong Camp 1
ord 2	I send 10 of my group chats that I gonna ORD ! :)
ord 1	U know , the ord feeling starts to flame up 5 months before .
pasir laba 1	I'm at Pasir Laba Camp in Singapore w / @smugelbbub
ocs 2	@dchuwm That's a fact man HAHA . OCS mids wing !
enlistment 1	happy enlistment to the land of being a legalised slave where torture and dicks are the only
ord 0	I wish NS gives me bears too ... When I ORD #PolyGiveMeBear #GraduationBear @ wtf am i captioning ? !
saf 1	SAF SLEEPING HAHAHAHAHAHA
ippt 1	IPPT next week .
mandai 1	Time for cross country ! ! ! ( @ Mandai Camp II )
safra resort 1	I'm at National Service Resort Country Club - SAFRA Resort in Singapore w / @sandehkoh
bmt 1	@isfirdhaus HAHA you how many week BMT ?
pasir 2	Proud of you commando . Happy POP low_jiayi #redberet @ Commando Training Camp @ Pasir Ris
tekong 2	@firearmpit nvm , u got friends waiting for you outside tekong :) ) )
ord 1	The next step after ORD will applying for ITE . Lets hope for the best and please let me get that course back . I promise i'll study hard
saf 2	Had a Great time at the #rsafopenhouse2016 #rsaf @ RSAF Open House 2016 at Paya Lebar Airbase
ord 2	Results are good and i unofficial ly graduate from singapore poly ! ORD ohhh !
bookout 1	My bookout bag is one burdenful
bookout 1	@ryanchongzx we recce the area outside camp first to make sure it is safe for you all to bookout
ord 1	All of us are going to miss you ! ORD OH brother ! @ Singapore
saf 2	/ / 20.03 Air Force Service Term Social Night . Thank you for the favour boss ! ! / / #RSAF #OCS @ Keppel Club
ord 1	@H2306 just take one for the team bro , so i can ORD
bmt 1	It's the last book in of BMT
tekong 1	In the ferry on the way to tekong nw
ns life 1	I will never believe when a girl says she gonna stay till i end my ns life .. I only believe if she really make the effort to stay and wait
ord 1	@cursedromance_ wait I ord first
ord 0	Booking in soon .. Sigh .. Ord mood .. So sian .. Missing bbyboo .. Haix ..
scdf 1	i still cant make a decision to continue as a manager at coffeebean or to sign on scdf / army
bookout 2	Can't wait to bookout tomorrow .
ord 1	Time to focus on my army and wait for ord
keat hong 1	My weekend is on fire ( @ Keat Hong Camp in Singapore )
commando 2	Boy's POP :) ( @ Commando Training Institude in Singapore )
bmt 0	To my section mates for the past 8 weeks , we did it . We've been through the toughest of BMT as well
saf 2	RSAF talk + Food + Catching up Thanks @CatherQQ for accompanying me today ! #saturday
ord 1	Plans to drop weights . So to live in a healthier body by ord
field camp 0	CHEEBYE AH FIELD CAMP IN 2 WEEKS I DON'T WANT . D:
ippt 2	Kumar wasn't in the Music Drama Company during NS , but a combat signaller w the best IPPT results in his battalion ! #10forkeeps #sgmemory
tekong 1	Back to tekong tonight .
ord 2	7 mote days to ord and im so happy ah !
ord 0	@KhaliqMasuri ikr , ord is a curse to be damned
national service resort country club 1	SWEET 16TH LESBO @ National Service Resort Country Club
cadets 1	blame your cadets for telling me hahah
ippt 2	Up at 5.30 am for IPPT , but got a Silver so it's all worth it heh ( @ Clementi Camp in Singapore )
kranji 1	Kranji camp 2 .. Back here after 1 year for this terrex training .. Before this was ndp rehearsal miss those time ..
commando 0	With everything that was happening in life I totally forgot abt my commando challenge which is in like few months only
enlistment 1	9 more days to my enlistment i hope you remembered .
national service 1	Happy belated birthday JJ / / your unexpected revival shocked us all @ National Service Resort
bmt 2	With bunkmates like them , my life in BMT will be a fun one :) #blessed
national service 1	Got lost jogging all the way to Changi Coastal Road ! lol ! #nikeplus @ National Service Resort
saf 2	It's gonna be an Exciting Day as the RSAF Celebrates their 45th Anniversary today ! Later in the
nee soon camp 0	Half dead ( @ Nee Soon Camp in Singapore )
field camp 1	FIELD CAMP LO
enlistment 1	Before his enlistment , her intership my project . #mondaymeetup #foodfriendship @ Little Pancakes
national service resort country club 2	Pretty pastries Happy birthday @bhlauzzz ! ! @ National Service Resort Country Club
sembawang 0	Sembawang camp why you so boring
air force 1	@natashakissaun wow that's coincidental . I'm considering between Feb n June one because I'll leave the Air Force in Feb 2015 .
hendon 2	Family portrait for the Red Beret Presentation yesterday . Once again , congrats bro ! @ Hendon Camp
safra resort 1	Fly fly away . #ootd @ National Service Resort Country Club - SAFRA Resort
bmt 2	My first and my last ever bookout days of my BMT journey spent with you . Can't wait to see you on
reservist 0	@mibsmash when i was reporting for reservist they only gave out the deployment schedules at 4pm it's the epitome of inefficiency
ippt 1	Must aim for gold already in the next IPPT window . 500 bucks , settle the bike .
air force 1	The news have said that the china Air Force has found two unknown objects in the Indian Ocean-one circular and one rectangular .
bookout 2	Can't wait for bookout
saf 1	Five stars arising.The RSAF Black Knights executing an aerial flypast in tribute to #LKY , to the
saf 1	3 SPF 3 SAF !
uniform 1	" @letsflybrau : @haizairrr cb la aku baru bookout dalam uniform in an mrt full of people " gojer dontscared
bedok camp 1	I'm at Bedok Camp II in Singapore with @axthxrgkl_ @joshuaaaaahhhhh
nsmen 1	The phrase that Singaporean " nsmen " used is now being abused by nsf . LOL WGT ?
bmt 2	Soon will be marching with my section mate that make my BMT going so well and always having fun
ord 1	Yay ord lo ( @ Chuan Park Condo Clubhouse Swimming Pool in Singapore )
pasir laba 2	Congratz to my brother for graduating ! #POPLo #FamilySelfie @ Leader's Square , Pasir Laba Camp
selarang camp 1	I'm at Selarang Camp w / @vviixiii
ippt 1	Hope my ippt results dont increase my chances of going to guards or infantry ...
clementi 1	@subwaymelts hahaha i went for a course at clementi camp for 2 months bro ! That explains my absence haha
commando 1	@roooyyyyyyyyyy commando Roy
bmt 0	Strangely missing the times in BMT when everybody gets fucked together .
tekong 2	@its_me_arthur you go arthur ! Haha . Turning broccoli soon . Enjoy your life before you enter tekong (;
tekong 1	SE10 ' s Helena reporting from Tekong where 20 Volvo machines are moving 45 million cubic meters of soil #earthmoving
enlistment 1	August 28 Enlistment
navy 0	wah lao why I never enlist in navy
sembawang 1	POC LOH ! Time for a short getaway soon . @ Sembawang Camp STC
selarang camp 1	284 days and counting ( @ Selarang Camp in Singapore )
national service resort country club 2	Happy Birthday Ah Glenn ! @glennngyj @ National Service Resort Country Club ( NSRCC )
ord 2	@Joannestitch wei he ne ... le mai ord . I love it in army ... lol
enlistment 2	Yay to more time together before his enlistment #lastdayofworkforhq @ Plaza Singapura Hoshino
pasir laba 1	I'm at Gas Chamber at Pasir Laba Camp
army life 1	Don't know should continue study or army life
cadet 2	Specialist Cadet Trainee ! A big thank you to a part of my family for coming down to don the rank
clementi 2	" Sir stop sir , camp pass pls " Finally ST combat course over ! ! @ Clementi Camp
platoon 1	Was spring cleaning my room when randomly i found this photo .. Much misses my " Alpha Company Platoon 3
reservist 1	Ustad winning in life . Been livin in Indon since 11 , exempted from NS to continue studies in Mekah , did Hajj is free from reservist nw
home team ns 2	thanks for the fun day guys @ Starbowl Home Team NS Bukit Batok
ord 0	@Glenkuajx haha sad life . We need to ord man zzz
ippt 0	@_xenobia_ PES A because I was an honest bastard , now I have to deal with IPPT , depression is a legit reason , not sweaty palms
ord 0	Rifle man conversion cause at last 3 month of ord siannnnnn
saf 2	Although I'm not Singaporean , seeing the RSAF rehearse for NDP makes me so proud to live in this country .
ippt 0	@natleewhee no choice . Sux thumb . I thur might have ippt
air force 1	#AVAILABLENike Air Force 1 82 ' 7UK 8USMadi in ChinaCondition 9/10 Tiptop bundleRM 90.00 postage
sembawang 1	and we are still here ( @ Sembawang Camp in Singapore w / @harold_lasial )
bmt 2	Congratulations on your passing out parade and completing your BMT ! Here's hoping you would be posted
ocs 1	Ocs is torture and i like it
air force 1	nike what have you done to the air force ! ! !
commando 0	1 point short of commando gold , dammit ...
ord 1	ORD LOOO ! ! !
training institute 2	Happy POP @ National Service Training Institute ( NSTI )
platoon 2	Not forgetting my wonderful lovely commanders ! Top Left : Sir ChoonChoon 1994 . Top Right : * Platoon *
ippt 1	First IPPT tmrw ! !
ippt 1	I'm at Seletar camp IPPT shed
bookout 1	Unknowingly Friday bookout became privilege
ord 0	I just change my damn singpass password and it says incorrect password wth is going on man NS portal !
ns life 2	@jjiiaaeenn yup , good experience for my NS life ! Fun !
ippt 1	2nd ippt this mondayyyy
ippt 0	@Kji_ i late for ippt they dont let me take
safra resort 1	I'm at National Service Resort Country Club - SAFRA Resort in Singapore w / @_mixedblood
ocs 2	@picklezapping haha no lah . Met her parents already . I'm going back into ocs tomorrow :)
ord 1	If there is something that could shorten my ORD date , I will take that
training institute 1	bro's enlistment . ( @ National Service Training Institute in Singapore , SG )
nee soon camp 0	LATE LATE LATE ( @ Nee Soon Camp in Singapore )
ippt 0	how did i fall sick , how am i gonna run for IPPT tomorrow , how like that
ord 0	40 days to ORD holyshit if i bought 2 packs of cigarettes now and had one a day i would finish my last stick when i ORD THATS HOW FAST IT IS
national service resort country club 1	Family staycay day 2 @ National Service Resort Country Club
ippt 1	25.51 % more to go and IPPT to complete then i get my CPL rank . @ workplace
ippt 0	Sian ~ affected by running nose ... Hopefully recover as soon as possible ... Next week IPPT liao ... Sigh ~
sembawang 0	sobs 5D4N ( hopefully ) ( @ Sembawang Camp in Singapore )
safra resort 1	Rest stop ( @ National Service Resort Country Club - SAFRA Resort )
tekong 0	Tekong bound bitches . #VSCOcam #vscocamsg #iphoneonly @ Avenged Sevefold - I Won't See You Tonight
cadets 1	@levainthiran your company still taking cadets ?
ippt 2	Can be better next year ! But I know I've done my best ! #ippt #onlypass #tryhardernextyear
ns life 2	He will msg me day n night without fail since he start his ns life .. love of my life
clementi 1	Eh . I malas want to report to clementi camp for ICT . Malas la Malas ! !
ippt 1	2.4 IPPT improve from 13.06 to 10.4 .
home team ns 1	Arms day with my bratha . @ Home Team NS @ Sembawang
air force 0	I can fucking see the air force ariel display from my house and its noisy af .
ord 1	Few days away to ord still dont know ehat im gonna do
ippt 1	Ippt tomorrow
mindef 1	I'm at MINDEF Chalet @ Singapore Air Show
singapore infantry regiment 1	home ( @ 4th Bn . Singapore Infantry Regiment ( 4 SIR ) in Singapore )
ord 0	Felt like ive already ORD but reality hit back hard this coming thursday
ippt 1	Tennis after IPPT . The d'leedon walkway . #singapore @ D'Leedon Condominium , Farrer Road Singapore
ippt 1	Run happy ; Run grumpy ; Run speedy ; Run slowly ; Run a little ; Run a lot . Just Run . #ippt #gold
enlistment 2	@donghae861015 Happy birthday oppa " wish u all the best " , today u'r enlistment day " take care & see u 2years later oppa , hwaiting ! !
navy 1	Navy blue harrington next
ns life 1	I miss ns life because everyday lepak also every 10th confirm gaji masok hahaha
lim chu kang 1	Call me chaokeng warrior . @ Lim Chu Kang Camp 1
bookout 2	Goodmorning . Finally its friday and I can't wait for his bookout
pasir laba 1	| Echo Captain's Ball Team | @ Pasir Laba Camp
field camp 2	Savoring all the good food before field camp @ 116 Neil Road Manbok Korean Bbq
